game_pk,date,venue,home_team,away_team,home_team_id,away_team_id,home_score,away_score,is_final,park_pf_runs,park_pf_hr,park_elev_ft,park_roof,runs_mult,hr_mult,wind_to_cf_mph,temp_f,home_off_rpg,home_off_k_pct,home_off_bb_pct,home_off_iso,home_off_ops,away_off_rpg,away_off_k_pct,away_off_bb_pct,away_off_iso,away_off_ops,home_sp_id,home_sp_name,home_sp_fip,home_sp_k9,home_sp_bb9,home_sp_era,home_sp_hr9,away_sp_id,away_sp_name,away_sp_fip,away_sp_k9,away_sp_bb9,away_sp_era,away_sp_hr9,home_bp_era,home_bp_fip,away_bp_era,away_bp_fip,home_off_rpg_recent,home_off_ops_recent,away_off_rpg_recent,away_off_ops_recent,home_pit_era_recent,away_pit_era_recent,home_sp_xfip,away_sp_xfip,home_sp_fip_minus,away_sp_fip_minus,home_off_woba,away_off_woba,home_off_babip,away_off_babip,home_off_x_park,away_off_x_park,home_sp_x_off,away_sp_x_off,home_off_minus_oppsp,away_off_minus_oppsp,home_off_xwoba_sc,away_off_xwoba_sc,home_off_barrel_rate,away_off_barrel_rate,home_sp_xera_sc,away_sp_xera_sc,ump_k_mult,home_lineup_ops,away_lineup_ops,home_lineup_woba,away_lineup_woba,home_lineup_k_pct,away_lineup_k_pct,home_lineup_bb_pct,away_lineup_bb_pct,home_lineup_xwoba_vs_hand,away_lineup_xwoba_vs_hand,home_lineup_ids,away_lineup_ids
823974,2026-03-26,UNIQLO Field at Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,119,109,8,2,True,1.0,1.01,510,open,1.0695614269183162,1.1649470219489244,4.460560506410918,77.3,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,808967,Yoshinobu Yamamoto,4.1,8.7,3.2,4.5,1.2,668678,Zac Gallen,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.72,0.72,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.3448996282527881,0.31187903225806457,9.902124269782263,7.421716589861751,4.215937500000001,4.684536082474226,1.5756,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.3197299545376517,0.30752490552520284,660271|663656|605141|518692|669257|571970|606192|681624|500743,606466|682998|672695|672515|571448|467793|691783|677950|694374
823163,2026-03-26,T-Mobile Park,Seattle Mariners,Cleveland Guardians,136,114,4,6,True,0.94,0.91,10,retractable,1.004445,1.0143900000000001,0.0,49.5,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,669302,Logan Gilbert,4.1,8.7,3.2,4.5,1.2,676440,Tanner Bibee,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.6768,0.6768,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.32467923526287845,0.31450347407803314,8.803770578863515,7.353073222875468,4.5202985074626865,4.157267080745342,1.8954,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.30934435491818707,0.3123981061196207,680977|663728|677594|647304|668227|670042|686527|702284|660844,680757|800050|608070|700932|666310|656555|682177|672356|677587
823243,2026-03-27,Oracle Park,San Francisco Giants,New York Yankees,137,147,0,3,True,0.97,0.84,12,open,1.0424230520000002,1.047380312,-2.7999999999999985,78.4,4.326923076923077,0.22313348416289594,0.08399321266968328,0.14423076923076922,0.7083461538461538,4.596153846153846,0.2278846153846154,0.08461538461538463,0.14636752136752135,0.7174230769230769,592662,Robbie Ray,4.1,8.7,3.2,4.5,1.2,693645,Cam Schlittler,4.1,8.7,3.2,4.5,1.2,5.166666666666666,2.9148148148148145,2.6785714285714284,3.425396825396825,4.326923076923077,0.7083461538461538,4.596153846153846,0.7174230769230769,5.166666666666666,2.6785714285714284,4.1,4.1,100.0,100.0,0.3074321266968326,0.31399038461538464,0.2882692307692308,0.2996923076923077,0.6870957692307692,0.6959003846153846,2.9414346153846154,2.9042192307692307,-0.17307692307692335,0.09615384615384581,0.2992237288135593,0.34673882224645586,7.391694915254238,11.595201744820063,4.0568078175895765,3.3797583081570997,1.3184,0.7163448979591838,0.7217763638967157,0.31030011615035624,0.31334660626328736,0.22358405483405486,0.22666200459130154,0.08448018817916778,0.08360844729452245,0.2939585998136559,0.3143500629259456,650333|656305|646240|642715|808982|671218|669477|672275|664056,502671|592450|641355|519317|642708|665862|676609|545341|669224
822839,2026-03-27,Rogers Centre,Toronto Blue Jays,Athletics,141,133,3,2,True,1.01,1.04,246,retractable,1.01404,1.02408,0.0,29.7,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,592332,Kevin Gausman,4.1,8.7,3.2,4.5,1.2,622663,Luis Severino,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.7272,0.7272,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.3106680828465215,0.3247128767123288,7.184599044078599,9.031397260273973,3.7471641791044776,4.349464285714285,1.5812,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.31041088213976425,0.3186138103534864,543807|664770|665489|680718|672386|662139|672960|676391|665926,701762|669127|691016|667670|805779|671732|691777|643446|672016
823893,2026-03-27,loanDepot park,Miami Marlins,Colorado Rockies,146,115,2,1,True,0.96,0.91,7,retractable,1.0068278485272364,0.9976055012294002,-3.393667341724358,77.0,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,645261,Sandy Alcantara,4.1,8.7,3.2,4.5,1.2,607536,Kyle Freeland,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.6911999999999999,0.6911999999999999,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.3116267916207277,0.3138785907859078,6.8775633958103635,7.515121951219512,3.755706521739131,4.365862068965517,1.6699,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.3119692878298094,0.2994652132401927,596103|682663|805300|672640|681393|681715|669364|683357|691594,664983|696100|650489|678662|681198|687597|686668|666397|691720
824946,2026-03-27,Truist Park,Atlanta Braves,Kansas City Royals,144,118,6,0,True,1.02,1.06,1057,open,1.0541712105314296,1.137342635370556,4.004488299823028,76.3,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,519242,Chris Sale,4.1,8.7,3.2,4.5,1.2,666142,Cole Ragans,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.7343999999999999,0.7343999999999999,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.33910792492179354,0.31713405405405404,9.876225234619396,8.973567567567569,3.494904458598726,4.7127083333333335,1.6105,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.32119764160764824,0.318014957422627,660670|686948|645277|621566|663586|642201|643289|641680|671739,672580|677951|657041|521692|686469|516782|663697|686555|695600
824216,2026-03-27,Daikin Park,Houston Astros,Los Angeles Angels,117,108,2,6,True,1.01,1.05,50,retractable,1.0776265514044212,1.213026190602942,7.171881598543044,78.3,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,681347,Mike Burrows,4.1,8.7,3.2,4.5,1.2,579328,Yusei Kikuchi,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.7272,0.7272,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.33349050795279633,0.3158675392670157,8.709081580297589,9.437068062827226,4.009278996865204,4.448013698630137,1.688,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.32002677602439206,0.30343178388666714,665161|670541|670623|514888|621043|701358|572233|673237|694728,687263|545361|694384|624585|660162|666176|666139|681351|672724
823324,2026-03-27,Petco Park,San Diego Padres,Detroit Tigers,135,116,2,5,True,0.96,0.92,13,open,0.977265414600093,0.9685243052473336,0.4453539230722095,67.2,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,650633,Michael King,4.1,8.7,3.2,4.5,1.2,664285,Framber Valdez,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.6911999999999999,0.6911999999999999,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.3187072899276572,0.33595432819968135,8.470450751252088,9.920870950610729,4.097087378640777,4.267826086956522,1.7317,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.31195775475507426,0.323725498713893,665487|593428|592518|701538|609280|657656|664034|630105|669134,681481|650402|656716|682985|679529|805808|693307|678009|595879
823162,2026-03-27,T-Mobile Park,Seattle Mariners,Cleveland Guardians,136,114,5,1,True,0.94,0.91,10,retractable,1.0064650000000002,1.0164300000000002,0.0,51.4,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,669923,George Kirby,4.1,8.7,3.2,4.5,1.2,668909,Gavin Williams,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.6768,0.6768,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.32467923526287845,0.31450347407803314,8.803770578863515,7.353073222875468,3.3816949152542373,4.234137931034483,1.6532,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.30934435491818707,0.31101801013218117,680977|663728|677594|647304|668227|670042|686527|702284|660844,680757|800050|608070|700932|666310|656555|692216|672356|677587
823971,2026-03-27,UNIQLO Field at Dodger Stadium,Los Angeles Dodgers,Arizona Diamondbacks,119,109,5,4,True,1.0,1.01,510,open,1.0126877833953651,1.0569256926280142,4.41655531769377,68.5,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,686218,Emmet Sheehan,4.1,8.7,3.2,4.5,1.2,669194,Ryne Nelson,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.72,0.72,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.3448996282527881,0.31187903225806457,9.902124269782263,7.421716589861751,4.256170212765958,4.966245733788396,1.5969,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.32249615062182013,0.310054406007352,660271|663656|605141|518692|669257|571970|606192|681624|690976,606466|682998|672695|672515|656976|571448|467793|677950|691783
